id_nota,id_estudiante,id_curso,nota,periodo,motivo_rechazo
N5012,E1099,C203,,II-2025,nota_vacia
N5023,E1020,C207,,II-2025,nota_vacia
N5032,E1174,C209,,II-2025,nota_vacia
N5035,E1054,,7.2,II-2025,id_curso_vacio
N5055,E1171,C211,,II-2025,nota_vacia
N5059,E1080,C201,,I-2025,nota_vacia
N5063,E1131,C202,,I-2025,nota_vacia
N5071,E1043,C203,,I-2025,nota_vacia
N5113,E1061,C209,,II-2025,nota_vacia
N5119,E1100,C204,,I-2025,nota_vacia
N5124,E1141,,4.8,II-2025,id_curso_vacio
N5134,E1095,C200,,II-2025,nota_vacia
N5135,E1051,C203,,II-2025,nota_vacia
N5154,E1027,C209,,I-2025,nota_vacia
N5167,E1002,C203,,II-2025,nota_vacia
N5188,nan,C202,,II-2025,nota_vacia
N5190,E1112,C202,,I-2025,nota_vacia
N5195,E1053,C209,,II-2025,nota_vacia
N5209,E1023,C208,,II-2025,nota_vacia
N5232,E1081,C202,,II-2025,nota_vacia
N5237,E1150,C208,,II-2025,nota_vacia
N5241,E1006,C200,,I-2025,nota_vacia
N5274,E1092,C210,,I-2025,nota_vacia
N5287,E1047,C208,,II-2025,nota_vacia
N5299,E1157,C203,,I-2025,nota_vacia
N5312,E1047,C209,,II-2025,nota_vacia
N5317,E1016,C201,,II-2025,nota_vacia
